Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Pct,Daily_Range,Daily_Range_Pct,MA_20,MA_50,MA_200,Rolling_Volatility_30,Rolling_Volatility_30_Annualized,Cumulative_Return,Running_Max,Drawdown,Year,Month,Month_Name,Day_of_Week
2016-02-16,21.848081588745117,24.15999984741211,24.212499618530273,23.65250015258789,23.7549991607666,196231600,0.028194482443649305,2.8194482443649305,0.5599994659423828,2.3573962775265827,21.654275798797606,23.138311614990233,25.884354095458985,0.023755295050175124,0.3771036181423621,2.413251031657617,29.541784286499023,-0.26043459742105113,2016,2,February,Tuesday
2016-02-17,22.182676315307617,24.530000686645508,24.552499771118164,24.037500381469727,24.167499542236328,179452800,0.015314604406039267,1.5314604406039267,0.5149993896484375,2.130958516202303,21.67667636871338,23.063894844055177,25.8521572303772,0.023969120920525052,0.3804979986032692,2.465523620945959,29.541784286499023,-0.2491084458481614,2016,2,February,Wednesday
2016-02-18,21.76217269897461,24.065000534057617,24.72249984741211,24.022499084472656,24.709999084472656,156084000,-0.01895639689079498,-1.895639689079498,0.7000007629394531,2.8328643823354964,21.67659044265747,22.963843841552734,25.818135261535645,0.023791071313753787,0.37767154871997155,2.3998297797528823,29.541784286499023,-0.2633426441706095,2016,2,February,Thursday
2016-02-19,21.71244239807129,24.010000228881836,24.190000534057617,23.950000762939453,24.0,141496800,-0.002285171687184673,-0.22851716871846728,0.23999977111816406,0.9999990463256836,21.679526805877686,22.866171340942383,25.78708309173584,0.023551594820581122,0.3738699772452872,2.392060584998944,29.541784286499023,-0.26502603270330716,2016,2,February,Friday
2016-02-22,21.902339935302734,24.219999313354492,24.225000381469727,23.979999542236328,24.077499389648438,137123200,0.008746023766000421,0.8746023766000421,0.24500083923339844,1.0175510142001327,21.634394550323485,22.772521514892578,25.757857189178466,0.022290645895291415,0.3538530336116628,2.421727627491058,29.541784286499023,-0.25859793291793864,2016,2,February,Monday
2016-02-23,21.407241821289062,23.672500610351562,24.125,23.637500762939453,24.100000381469727,127770400,-0.022604804576868975,-2.2604804576868975,0.4874992370605469,2.0228183790211913,21.586768436431885,22.68070732116699,25.72529764175415,0.022665651140718023,0.35980605733012405,2.344380143156349,29.541784286499023,-0.27535718175721535,2016,2,February,Tuesday
2016-02-24,21.726009368896484,24.024999618530273,24.094999313354492,23.329999923706055,23.4950008392334,145022800,0.014890640759259943,1.4890640759259943,0.7649993896484375,3.256009203332287,21.548897171020506,22.592794952392577,25.691701850891114,0.02263410815980573,0.35930532803150256,2.394180106430493,29.541784286499023,-0.26456678587198434,2016,2,February,Wednesday
2016-02-25,21.875215530395508,24.190000534057617,24.190000534057617,23.8125,24.012500762939453,110330800,0.006867628516842528,0.6867628516842528,0.3775005340576172,1.5721000398269476,21.59235143661499,22.52131317138672,25.660300855636596,0.022503026524005793,0.3572244715728575,2.4174900745207144,29.541784286499023,-0.2595161037584056,2016,2,February,Thursday
2016-02-26,21.90912437438965,24.227500915527344,24.5049991607666,24.145000457763672,24.299999237060547,115964400,0.001550103309703399,0.1550103309703399,0.3599987030029297,1.48147619055842,21.62996835708618,22.453657608032227,25.629570922851563,0.022001300560390295,0.3492598188166724,2.4227875371961076,29.541784286499023,-0.2583682772200594,2016,2,February,Friday
2016-02-29,21.85938835144043,24.172500610351562,24.5575008392334,24.162500381469727,24.21500015258789,140865200,-0.002270105463792804,-0.22701054637928042,0.3950004577636719,1.6312221981194481,21.628559112548828,22.393956565856932,25.598436298370363,0.021621488075572372,0.3432304825386781,2.415017448506517,29.541784286499023,-0.26005185944606424,2016,2,February,Monday
2016-03-01,22.72751808166504,25.13249969482422,25.1924991607666,24.354999542236328,24.412500381469727,201628400,0.0397142736231868,3.97142736231868,0.8374996185302734,3.4306179434449753,21.680787563323975,22.34779571533203,25.568365840911866,0.022355162769633643,0.3548772072409232,2.550642385884462,29.541784286499023,-0.23066535652513687,2016,3,March,Tuesday
2016-03-02,22.77726173400879,25.1875,25.22249984741211,24.90999984741211,25.127500534057617,132678400,0.0021886970748417056,0.21886970748417056,0.3125,1.2436573210950288,21.757426834106447,22.31324279785156,25.538744678497313,0.022322473692137624,0.3543582842230677,2.5584136664882564,29.541784286499023,-0.22898151604138917,2016,3,March,Wednesday
2016-03-03,22.94681739807129,25.375,25.427499771118164,25.112499237060547,25.145000457763672,147822800,0.007444075852600651,0.7444075852600651,0.3150005340576172,1.2527362430823057,21.821519565582275,22.295347633361818,25.50838879585266,0.022345900462322314,0.35473017267064866,2.584902767736526,29.541784286499023,-0.22324199596304406,2016,3,March,Thursday
2016-03-04,23.288192749023438,25.752500534057617,25.9375,25.342500686645508,25.592500686645508,184220400,0.014876806008873533,1.4876806008873533,0.5949993133544922,2.3248971276377475,21.89397735595703,22.27843376159668,25.479873523712158,0.022424731313171502,0.3559815736325681,2.638234670772816,29.541784286499023,-0.21168631782114655,2016,3,March,Friday
2016-03-07,23.030460357666016,25.467500686645508,25.707500457763672,25.239999771118164,25.59749984741211,143315600,-0.011067084257460502,-1.1067084257460502,0.4675006866455078,1.8263529228725508,21.982712078094483,22.256814918518067,25.45008074760437,0.02041362546286306,0.32405625799170873,2.5979700211229595,29.541784286499023,-0.2204106517631288,2016,3,March,Monday
2016-03-08,22.84056282043457,25.25749969482422,25.440000534057617,25.100000381469727,25.19499969482422,126247600,-0.008245494631123784,-0.8245494631123784,0.3400001525878906,1.3494747239776173,22.05076131820679,22.225192108154296,25.417856245040895,0.020133497367557138,0.3196093623391787,2.568302978630846,29.541784286499023,-0.2268387515484973,2016,3,March,Tuesday
2016-03-09,22.860904693603516,25.280000686645508,25.395000457763672,25.0674991607666,25.327499389648438,108806800,0.0008906029737036913,0.08906029737036913,0.3275012969970703,1.2930660542466457,22.120053863525392,22.196584358215333,25.384451847076416,0.020114570586893882,0.31930890901065445,2.57148091987469,29.541784286499023,-0.2261501718414739,2016,3,March,Wednesday
2016-03-10,22.872209548950195,25.292499542236328,25.559999465942383,25.037500381469727,25.352500915527344,134054400,0.0004945060354433206,0.04945060354433206,0.5224990844726562,2.0609370500116913,22.19805030822754,22.173644409179687,25.35435817718506,0.015724357512087853,0.24961643701952868,2.5732470387450386,29.541784286499023,-0.2257674984309228,2016,3,March,Thursday
2016-03-11,23.11863899230957,25.565000534057617,25.56999969482422,25.375,25.559999465942383,109632800,0.010774186150751097,1.0774186150751097,0.19499969482421875,0.762909620104052,22.294811820983888,22.14699836730957,25.322799711227418,0.015771314899504923,0.250361862435466,2.611745867503098,29.541784286499023,-0.21742577333505586,2016,3,March,Friday
2016-03-14,23.177413940429688,25.6299991607666,25.727500915527344,25.44499969482422,25.477500915527344,100304400,0.002542318695303303,0.2542318695303303,0.282501220703125,1.1088262606280734,22.39123363494873,22.127913818359374,25.291824836730957,0.014609419180149064,0.23191733969862938,2.620928076544735,29.541784286499023,-0.21543622024814313,2016,3,March,Monday
2016-03-15,23.64314079284668,26.145000457763672,26.295000076293945,25.962499618530273,25.989999771118164,160270800,0.020093995542988408,2.0093995542988408,0.3325004577636719,1.2793399795761782,22.48098659515381,22.127407913208007,25.264850273132325,0.014807430636751646,0.23506067412410192,2.6936869891763067,29.541784286499023,-0.19967119915461906,2016,3,March,Tuesday
2016-03-16,23.957382202148438,26.49250030517578,26.577499389648438,26.147499084472656,26.15250015258789,153214000,0.01329101797663168,1.329101797663168,0.43000030517578125,1.6442034324325627,22.56972188949585,22.13278205871582,25.23915714263916,0.014249143847863308,0.22619814610219377,2.7427798493494997,29.541784286499023,-0.18903401467536707,2016,3,March,Wednesday
2016-03-17,23.918947219848633,26.450000762939453,26.61750030517578,26.239999771118164,26.3799991607666,137682800,-0.0016043064294544163,-0.16043064294544163,0.3775005340576172,1.4310104096555514,22.67756061553955,22.149260177612305,25.213918228149414,0.013969947348864984,0.221766039082577,2.736775283573156,29.541784286499023,-0.1903350526196923,2016,3,March,Thursday
2016-03-18,23.946075439453125,26.479999542236328,26.625,26.297500610351562,26.584999084472656,176820800,0.0011341728109999227,0.11341728109999227,0.3274993896484375,1.2318954332397105,22.789242267608643,22.175319900512694,25.18863664627075,0.013947769541166484,0.22141397729980794,2.741013432500601,29.541784286499023,-0.18941675265035396,2016,3,March,Friday
2016-03-21,23.94382095336914,26.477500915527344,26.912500381469727,26.28499984741211,26.482500076293945,142010800,-9.414845825927998e-05,-0.009414845825927998,0.6275005340576172,2.369491295194331,22.89131631851196,22.220447387695312,25.164190769195557,0.012779448794980486,0.20286746042401455,2.7406612218536037,29.541784286499023,-0.1894930678133827,2016,3,March,Monday
2016-03-22,24.126935958862305,26.68000030517578,26.822500228881836,26.302499771118164,26.3125,129777600,0.007647693567780278,0.7647693567780278,0.5200004577636719,1.9762487705982779,23.027301025390624,22.266943550109865,25.14145174026489,0.012739878087361616,0.20223929491464027,2.7692686526192185,29.541784286499023,-0.18329455916145776,2016,3,March,Tuesday
2016-03-23,23.993562698364258,26.532499313354492,26.767499923706055,26.475000381469727,26.6200008392334,102814000,-0.00552798170167379,-0.552798170167379,0.2924995422363281,1.0987961420543348,23.140678691864014,22.303711891174316,25.118993091583253,0.0128365194368555,0.20377342877739926,2.748432204478847,29.541784286499023,-0.1878092918940707,2016,3,March,Wednesday
2016-03-24,23.889558792114258,26.417499542236328,26.5625,26.22249984741211,26.36750030517578,104532000,-0.004334658739824859,-0.4334658739824859,0.3400001525878906,1.289466762691762,23.24139585494995,22.33196918487549,25.096437921524046,0.012750863475807884,0.20241368254994588,2.7321840300630615,29.541784286499023,-0.19132986144536657,2016,3,March,Thursday
2016-03-28,23.781047821044922,26.297500610351562,26.547500610351562,26.264999389648438,26.5,77645600,-0.004542192344931695,-0.4542192344931695,0.282501220703125,1.0660423422759433,23.334992027282716,22.369613914489747,25.071713123321533,0.012713331705495217,0.20181788416687801,2.7152317323318327,29.541784286499023,-0.19500299675828425,2016,3,March,Monday
2016-03-29,24.343976974487305,26.920000076293945,26.947500228881836,26.219999313354492,26.22249984741211,124760400,0.023671335160607265,2.3671335160607265,0.7275009155273438,2.7743385251621637,23.45922145843506,22.40893825531006,25.05012614250183,0.013211422883138832,0.20972483648455978,2.803176227867183,29.541784286499023,-0.1759476428912652,2016,3,March,Tuesday
2016-03-30,24.76900291442871,27.389999389648438,27.604999542236328,27.149999618530273,27.162500381469727,182404400,0.01745918263013624,1.7459182630136239,0.4549999237060547,1.675103239083453,23.56129570007324,22.46751117706299,25.03224681854248,0.012685989292766667,0.2013838368209326,2.8695765762041088,29.541784286499023,-0.16156036229170945,2016,3,March,Wednesday
2016-03-31,24.6401309967041,27.247499465942383,27.475000381469727,27.219999313354492,27.43000030517578,103553600,-0.005202951373126874,-0.5202951373126874,0.2550010681152344,0.9296429649223084,23.654439163208007,22.525620498657226,25.014001750946044,0.012622859968839625,0.20038168987165306,2.849443357443528,29.541784286499023,-0.16592272295600774,2016,3,March,Thursday
2016-04-01,24.8662109375,27.497499465942383,27.5,27.049999237060547,27.19499969482422,103496000,0.009175273492910474,0.9175273492910474,0.4500007629394531,1.6547187644392498,23.750408840179443,22.58766689300537,24.99612926483154,0.011915699842324247,0.18915587088048907,2.8847630530435397,29.541784286499023,-0.15826983582490717,2016,4,April,Friday
2016-04-04,25.121679306030273,27.780000686645508,28.047500610351562,27.5674991607666,27.604999542236328,149424800,0.010273715170050712,1.0273715170050712,0.48000144958496094,1.7388207119893153,23.842083168029784,22.657026176452636,24.979868431091308,0.011888865964197136,0.18872989627107456,2.9246740021536457,29.541784286499023,-0.14962213986813233,2016,4,April,Monday
2016-04-05,24.825517654418945,27.452499389648438,27.6825008392334,27.354999542236328,27.377500534057617,106314800,-0.011789086549649386,-1.1789086549649386,0.3275012969970703,1.1962425006244037,23.93183603286743,22.69743682861328,24.96148042678833,0.012247974591973443,0.1944305690075972,2.8784056806630973,29.541784286499023,-0.15964731806113253,2016,4,April,Tuesday
2016-04-06,25.08550453186035,27.739999771118164,27.7450008392334,27.299999237060547,27.5575008392334,105616400,0.010472566214349666,1.0472566214349666,0.44500160217285156,1.6148111716259343,24.04408311843872,22.751951637268068,24.945818843841554,0.011189600514636872,0.17762940139133715,2.9190225409599515,29.541784286499023,-0.15084666895612153,2016,4,April,Wednesday
2016-04-07,24.538394927978516,27.135000228881836,27.604999542236328,27.030000686645508,27.487499237060547,127207600,-0.021809790717462696,-2.1809790717462696,0.5749988555908203,2.091855831015603,24.12795763015747,22.793050842285155,24.926296138763426,0.012082208285063767,0.1917991104645775,2.833549479524596,29.541784286499023,-0.16936652539322483,2016,4,April,Thursday
2016-04-08,24.565532684326172,27.165000915527344,27.4424991607666,27.042499542236328,27.227500915527344,94326800,0.0011059303767546602,0.11059303767546602,0.39999961853027344,1.4691014785795526,24.21262378692627,22.864238891601563,24.907555513381958,0.012083079847551026,0.19181294609013758,2.8377891183447943,29.541784286499023,-0.16844790260170783,2016,4,April,Friday
2016-04-11,24.646913528442383,27.2549991607666,27.65250015258789,27.207500457763672,27.24250030517578,117630000,0.00331280600188788,0.331280600188788,0.44499969482421875,1.6334759652720774,24.28903751373291,22.934041442871095,24.88801815032959,0.012075322080037294,0.19168979534871522,2.850502969170027,29.541784286499023,-0.1656931318225643,2016,4,April,Monday
2016-04-12,24.96794319152832,27.610000610351562,27.625,27.165000915527344,27.334999084472656,108929200,0.013025146646271635,1.3025146646271635,0.45999908447265625,1.682820925111915,24.378563976287843,22.99564884185791,24.870765733718873,0.012124146255592895,0.1924648551076425,2.900656335005371,29.541784286499023,-0.15482616251656156,2016,4,April,Tuesday
2016-04-13,25.329669952392578,28.010000228881836,28.084999084472656,27.700000762939453,27.700000762939453,133029200,0.014487647544271676,1.4487647544271676,0.3849983215332031,1.389885599022446,24.462890434265137,23.06858325958252,24.856157817840575,0.010342365681626206,0.1641799653700318,2.9571676691782596,29.541784286499023,-0.1425815818454621,2016,4,April,Wednesday
2016-04-14,25.343236923217773,28.024999618530273,28.09749984741211,27.832500457763672,27.905000686645508,101895600,0.000535615775913989,0.0535615775913989,0.2649993896484375,0.9496483896352607,24.532183170318604,23.150558471679688,24.844091787338257,0.010354934143956884,0.16437948352416853,2.959287190609808,29.541784286499023,-0.1421223350141393,2016,4,April,Thursday
2016-04-15,24.834564208984375,27.462499618530273,28.075000762939453,27.4325008392334,28.02750015258789,187756000,-0.02007133957570295,-2.007133957570295,0.6424999237060547,2.2923911166109834,24.57796401977539,23.21395050048828,24.828479375839233,0.011189179586414636,0.17762271936296206,2.879818992929348,29.541784286499023,-0.15934108894248167,2016,4,April,Friday
2016-04-18,24.298757553100586,26.8700008392334,27.237499237060547,26.735000610351562,27.22249984741211,243286000,-0.02157503757162571,-2.157503757162571,0.5024986267089844,1.845894497293033,24.595598125457762,23.263144912719728,24.808884057998657,0.011784540563229673,0.18707378187275253,2.7961117523857903,29.541784286499023,-0.17747833653346956,2016,4,April,Monday
2016-04-19,24.169897079467773,26.727500915527344,27.0,26.5575008392334,26.969999313354492,129539600,-0.005303171298006171,-0.5303171298006171,0.44249916076660156,1.6407088321559329,24.606901931762696,23.32142753601074,24.788822765350343,0.011618673508089716,0.18444072400115877,2.775980321496514,29.541784286499023,-0.1818403098111535,2016,4,April,Tuesday
2016-04-20,24.21962547302246,26.782499313354492,27.022499084472656,26.514999389648438,26.65999984741211,122444000,0.0020574516056557357,0.20574516056557357,0.5074996948242188,1.9035997664249116,24.6115364074707,23.376228485107422,24.769500465393065,0.011466562412618366,0.182026035219534,2.7837492182719012,29.541784286499023,-0.18015698584289164,2016,4,April,Wednesday
2016-04-21,23.957382202148438,26.49250030517578,26.732500076293945,26.3799991607666,26.732500076293945,126210000,-0.010827717842545881,-1.082771784254588,0.35250091552734375,1.3186230787293152,24.609727382659912,23.42587505340576,24.749212408065794,0.011703496598201813,0.18578724881239456,2.7427798493494997,29.541784286499023,-0.18903401467536707,2016,4,April,Thursday
2016-04-22,23.891817092895508,26.420000076293945,26.6200008392334,26.155000686645508,26.252500534057617,134732400,-0.002736739293955459,-0.2736739293955459,0.4650001525878906,1.7712604252103206,24.609840297698973,23.477465782165527,24.73207363128662,0.011729138762117371,0.18619430554518326,2.73253683666716,29.541784286499023,-0.19125341715346633,2016,4,April,Friday
2016-04-25,23.75617218017578,26.270000457763672,26.412500381469727,26.127500534057617,26.25,112126400,-0.005677463216477663,-0.5677463216477663,0.2849998474121094,1.0857137044270833,24.608596515655517,23.528921051025392,24.717042751312256,0.011666034850720685,0.18519256200731676,2.7113454960728345,29.541784286499023,-0.19584504612902953,2016,4,April,Monday
2016-04-26,23.591135025024414,26.087499618530273,26.325000762939453,25.977500915527344,25.977500915527344,224064800,-0.00694712742017789,-0.694712742017789,0.3474998474121094,1.337695448619543,24.570954418182374,23.575764198303222,24.69760931968689,0.011750360605433597,0.18653119186384595,2.685562306011313,29.541784286499023,-0.20143161305913848,2016,4,April,Tuesday
2016-04-27,22.114850997924805,24.454999923706055,24.677499771118164,23.920000076293945,24.0,458408400,-0.06257791435357529,-6.257791435357529,0.7574996948242188,3.1562487284342446,24.43824682235718,23.581099586486815,24.66814202308655,0.015970920078929255,0.25353049642640924,2.4549275036809717,29.541784286499023,-0.25140435718259657,2016,4,April,Wednesday
2016-04-28,21.438884735107422,23.707500457763672,24.469999313354492,23.5625,24.40250015258789,328970800,-0.030566168538997296,-3.0566168538997296,0.9074993133544922,3.718878425079127,24.278184509277345,23.566223754882813,24.635350637435913,0.016511693073705282,0.2621150015859112,2.349323607313442,29.541784286499023,-0.27428605776851234,2016,4,April,Thursday
